Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/05  16:00:00,1.06246687569,5.43044950067,0.0,4.66388281104,0.0,0.128412013614,0.128412013614,0.128412013614,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.738391979215
 01/05  17:00:00,1.33898786291,5.9236912519,0.0,5.08016438977,0.0,0.139873612869,0.139873612869,0.139873612869,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.810201117698
 01/05  18:00:00,1.87138547504,7.60233863678,0.0,6.6006544096,0.0,0.181737697589,0.181737697589,0.181737697589,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.961198773729
 01/05  19:00:00,2.19243431993,6.86476742076,0.0,5.72261011327,0.0,0.15756225393,0.15756225393,0.15756225393,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09820232448
 01/05  20:00:00,2.16442134133,7.14191844106,0.0,5.97580100141,0.0,0.164533430756,0.164533430756,0.164533430756,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.1207472538
 01/05  21:00:00,2.01865614133,7.4417598659,0.0,6.35633659062,0.0,0.175010825503,0.175010825503,0.175010825503,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03849332285
 01/05  22:00:00,1.86438725266,8.01532945393,0.0,7.03144454469,0.0,0.193598765059,0.193598765059,0.193598765059,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.938050597723
 01/05  23:00:00,1.56138237571,8.55353201479,0.0,7.73845250898,0.0,0.213065016681,0.213065016681,0.213065016681,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.775415783043
 01/05  24:00:00,1.25634857638,8.82959099851,0.0,8.19591451333,0.0,0.225660448322,0.225660448322,0.225660448322,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.599209448134
 01/06  01:00:00,0.960940645012,9.40307801088,0.0,8.96081684876,0.0,0.246720722152,0.246720722152,0.246720722152,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.41375167254
 01/06  02:00:00,0.848959391978,9.93220273832,0.0,9.57707154783,0.0,0.263688238278,0.263688238278,0.263688238278,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328881460287
 01/06  03:00:00,0.80509962239,10.1221359904,0.0,9.79086392006,0.0,0.269574644546,0.269574644546,0.269574644546,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305326684789
 01/06  04:00:00,0.798973512479,10.3560161013,0.0,10.0189684581,0.0,0.275855111753,0.275855111753,0.275855111753,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311467471291
 01/06  05:00:00,0.807309094282,10.8521346133,0.0,10.4484133933,0.0,0.287679141451,0.287679141451,0.287679141451,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.379107342538
 01/06  06:00:00,0.865420917921,11.2897828366,0.0,10.5885146294,0.0,0.291536588681,0.291536588681,0.291536588681,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.673801098205
 01/06  07:00:00,1.10786187548,12.5739822199,0.0,11.3178178429,0.0,0.311616701749,0.311616701749,0.311616701749,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22442883359
 01/06  08:00:00,1.42418239814,12.6580316015,0.0,11.2457958513,0.0,0.309633699744,0.309633699744,0.309633699744,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37851435766
 01/06  09:00:00,1.34319361964,11.3351705679,0.0,9.96724998096,0.0,0.274431132192,0.274431132192,0.274431132192,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33941109737
 01/06  10:00:00,1.1280517228,9.96128238375,0.0,8.71702369271,0.0,0.240008295759,0.240008295759,0.240008295759,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21999480999
 01/06  11:00:00,1.12361918028,10.009845607,0.0,8.90746651523,0.0,0.245251812226,0.245251812226,0.245251812226,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07754456445
 01/06  12:00:00,1.06930178078,7.31373731765,0.0,6.34071969816,0.0,0.174580841155,0.174580841155,0.174580841155,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.948175483521
 01/06  13:00:00,1.02002290475,5.98232848005,0.0,5.10841063096,0.0,0.140651324672,0.140651324672,0.140651324672,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.849494187076
 01/06  14:00:00,0.973552034049,5.02575907186,0.0,4.21006665099,0.0,0.115916964042,0.115916964042,0.115916964042,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.790424202319
 01/06  15:00:00,0.963823206955,4.48276798092,0.0,3.7240610031,0.0,0.102535632134,0.102535632134,0.102535632134,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.7320159478
 01/06  16:00:00,1.04439938474,4.77534439291,0.0,4.00767738202,0.0,0.110344522663,0.110344522663,0.110344522663,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.739492300471
 01/06  17:00:00,1.31225490634,4.95384511901,0.0,4.10923205166,0.0,0.113140656303,0.113140656303,0.113140656303,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.81128732292
 01/06  18:00:00,1.82767140316,6.0161459888,0.0,5.01297345446,0.0,0.138023625713,0.138023625713,0.138023625713,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.962687080887
 01/06  19:00:00,2.14214130909,5.04092401276,0.0,3.89598422226,0.0,0.107269243087,0.107269243087,0.107269243087,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.10098480749
 01/06  20:00:00,2.10447001917,4.96650930558,0.0,3.7983883665,0.0,0.104582108597,0.104582108597,0.104582108597,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.12275075322
 01/06  21:00:00,1.95649106755,5.18657530976,0.0,4.09852121296,0.0,0.11284575173,0.11284575173,0.11284575173,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.04112414436
 01/06  22:00:00,1.79309515433,5.42856654945,0.0,4.44213858616,0.0,0.122306666722,0.122306666722,0.122306666722,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.940593651775
 01/06  23:00:00,1.47694000286,5.489265779,0.0,4.67153283234,0.0,0.128622643829,0.128622643829,0.128622643829,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.778069223892
 01/06  24:00:00,1.16666969525,5.57459475913,0.0,4.93880654933,0.0,0.135981567192,0.135981567192,0.135981567192,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.601321172758
 01/07  01:00:00,0.87389865222,6.02135074142,0.0,5.56072577284,0.0,0.153105046283,0.153105046283,0.153105046283,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.43211547899
 01/07  02:00:00,0.739627386425,5.82878110037,0.0,5.46281382173,0.0,0.15040920865,0.15040920865,0.15040920865,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33971754844
 01/07  03:00:00,0.692357584316,5.94045102364,0.0,5.60127021828,0.0,0.154221368046,0.154221368046,0.154221368046,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.313235419855
