Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 02/26  07:00:00,1.72695984617,8.56595275646,0.0,8.53465894293,0.0,0.208318300968,0.208318300968,0.208318300968,0.129606216515,0.0279206166389,0.14030009709,0.454328646517,0.749841968444
 02/26  08:00:00,2.11925418709,8.13053536879,0.0,8.09728334732,0.0,0.197470252129,0.197470252129,0.197470252129,0.25921243303,0.0558412332777,0.228479448591,0.482758226172,0.863848593886
 02/26  09:00:00,2.02683217996,7.38608084514,0.0,7.35796818168,0.0,0.17944040855,0.17944040855,0.17944040855,0.231037140861,0.049771545201,0.301038229845,0.408144195277,0.840756660226
 02/26  10:00:00,1.78374192897,6.32347539278,0.0,6.29954924286,0.0,0.153628510196,0.153628510196,0.153628510196,0.112701089013,0.0242788037928,0.37497357455,0.347363714635,0.754152236783
 02/26  11:00:00,1.68997564798,6.66626648223,0.0,6.64177762888,0.0,0.163769078135,0.163769078135,0.163769078135,0.090160839344,0.0194230361695,0.395705006816,0.355533134076,0.648740553433
 02/26  12:00:00,1.55890950206,4.52228128052,0.0,4.49778492445,0.0,0.110358881831,0.110358881831,0.110358881831,0.090160839344,0.0194230361695,0.413520643025,0.355642059669,0.553160042024
 02/26  13:00:00,1.44690159518,3.71403452977,0.0,3.68995082289,0.0,0.0914955129099,0.0914955129099,0.0914955129099,0.090160839344,0.0194230361695,0.39956426318,0.349651152079,0.479962791498
 02/26  14:00:00,1.36220190739,3.15598246216,0.0,3.13106595419,0.0,0.0781971630034,0.0781971630034,0.0781971630034,0.090160839344,0.0194230361695,0.361343598785,0.361741892852,0.434691377237
 02/26  15:00:00,1.31073618212,2.89747545298,0.0,2.87115593779,0.0,0.0719977233299,0.0719977233299,0.0719977233299,0.0957958818448,0.0206369737848,0.331676763602,0.382110978658,0.391873860896
 02/26  16:00:00,1.36996451118,3.05894332679,0.0,3.03116078268,0.0,0.0764446866278,0.0764446866278,0.0764446866278,0.112701089013,0.0242788037928,0.339830371887,0.403351469205,0.396714090657
 02/26  17:00:00,1.63016304317,3.3109722892,0.0,3.27811040878,0.0,0.0827633820085,0.0827633820085,0.0827633820085,0.174686636187,0.0376321347236,0.389541408607,0.47709409536,0.451801386281
 02/26  18:00:00,2.1747269158,5.00436874788,0.0,4.96444681506,0.0,0.125710837039,0.125710837039,0.125710837039,0.338103187372,0.0728363942165,0.48031520192,0.579593077948,0.561524217304
 02/26  19:00:00,2.59147944112,4.37468471625,0.0,4.33134154657,0.0,0.107756349708,0.107756349708,0.107756349708,0.580410413235,0.125035814648,0.432484217059,0.629263148149,0.66988549832
 02/26  20:00:00,2.71935357331,4.35893641976,0.0,4.31419774557,0.0,0.1067991967,0.1067991967,0.1067991967,0.74382696442,0.160240091303,0.349483984996,0.649523308363,0.692836027524
 02/26  21:00:00,2.59119745744,4.72010955298,0.0,4.67383282274,0.0,0.115719181811,0.115719181811,0.115719181811,0.693111422582,0.149314618441,0.310626769787,0.671853054836,0.633928409985
 02/26  22:00:00,2.34559967698,5.10236766437,0.0,5.05717132472,0.0,0.125137021764,0.125137021764,0.125137021764,0.574775370734,0.123821877033,0.293847511999,0.656167769509,0.555206125941
 02/26  23:00:00,1.90943823249,5.51363214719,0.0,5.47452050732,0.0,0.135356534091,0.135356534091,0.135356534091,0.428264026716,0.0922594475479,0.234076814023,0.567829113952,0.435008296162
 02/26  24:00:00,1.4684582846,5.81216611644,0.0,5.77817882916,0.0,0.142755507402,0.142755507402,0.142755507402,0.298657810201,0.0643388309091,0.151364647498,0.493432934242,0.301264554351
 02/27  01:00:00,0.998439989708,6.24484452735,0.0,6.21673186389,0.0,0.153477312584,0.153477312584,0.153477312584,0.152146386518,0.0327763842622,0.0862813993051,0.408144195277,0.148970311761
 02/27  02:00:00,0.82776014076,6.53513041381,0.0,6.50924605595,0.0,0.160749488958,0.160749488958,0.160749488958,0.090160839344,0.0194230361695,0.07215281313,0.37579329429,0.0928366688684
 02/27  03:00:00,0.767989555005,6.81484117972,0.0,6.78925693035,0.0,0.167363679293,0.167363679293,0.167363679293,0.0619855790406,0.0133533395118,0.0596311906089,0.371436270588,0.0775754959622
 02/27  04:00:00,0.76399778179,6.97997713978,0.0,6.9547530206,0.0,0.171315577548,0.171315577548,0.171315577548,0.0619855790406,0.0133533395118,0.0525294584498,0.366207842146,0.0819619850933
 02/27  05:00:00,0.806681269465,7.03716897042,0.0,7.01289769573,0.0,0.172599677831,0.172599677831,0.172599677831,0.0619855790406,0.0133533395118,0.06307140009,0.352374291893,0.126652981099
 02/27  06:00:00,1.06206391387,7.010150927,0.0,6.98306613514,0.0,0.17176028284,0.17176028284,0.17176028284,0.0676206374745,0.0145672805595,0.0759011793751,0.393221389098,0.322349144527
 02/27  07:00:00,1.61274247731,6.82024780894,0.0,6.78895399542,0.0,0.166897157479,0.166897157479,0.166897157479,0.129606216515,0.0279206166389,0.129674584873,0.454328646517,0.687671255288
