Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 10/11  08:00:00,0.865827519326,0.819457967927,0.0,0.0,0.0,0.0,0.0,0.0,0.212700626542,0.0436269885822,0.272982226561,0.321442677641,0.797315441831
 10/11  09:00:00,0.748558263145,0.74433246088,0.0,0.0,0.0,0.0,0.0,0.0,0.104179924499,0.0213683195464,0.334361307064,0.273573712036,0.725487380623
 10/11  10:00:00,0.842408434621,0.661947032543,0.0,0.0,0.0732483152429,0.0255651690784,0.0988134843213,0.0255651690784,0.0824757707912,0.0169165857393,0.34911988098,0.280007712789,0.6426587472
 10/11  11:00:00,1.02405850205,0.591378626773,0.0,0.0,0.198255769662,0.0659931701584,0.264248939821,0.0659931701584,0.0824757707912,0.0169165857393,0.365248706228,0.280093499466,0.572084432029
 10/11  12:00:00,1.25870875878,0.536123192795,0.0,0.0,0.389554429624,0.123205603267,0.51276003289,0.123205603267,0.0824757707912,0.0169165857393,0.356106137108,0.275375232247,0.517154015114
 10/11  13:00:00,1.48856829729,0.505287925688,0.0,0.0,0.584274273093,0.182649666096,0.766923939189,0.182649666096,0.0824757707912,0.0169165857393,0.322279448206,0.284897553362,0.48566280448
 10/11  14:00:00,1.78743288597,0.47422706355,0.0,0.0,0.826480808324,0.24850637905,1.07498718737,0.24850637905,0.0824757707912,0.0169165857393,0.297038680158,0.300939661907,0.453496884328
 10/11  15:00:00,2.00670767871,0.48012493819,0.0,0.0,0.967347730401,0.294869555331,1.26221728573,0.294869555331,0.0868166148324,0.0178069352286,0.307123779051,0.317668063866,0.458242425744
 10/11  16:00:00,2.26567849894,0.523615746866,0.0,0.0,1.0659388342,0.320447653304,1.3863864875,0.320447653304,0.108520702043,0.0222586690357,0.357691996357,0.375745644,0.497732569844
 10/11  17:00:00,2.61505489198,0.615167733552,0.0,0.0,1.12791693648,0.352481873182,1.48039880966,0.352481873182,0.177974007208,0.0365042199465,0.448631948385,0.456470906786,0.583723810051
 10/11  18:00:00,2.6119469464,0.698631624471,0.0,0.0,0.961102496891,0.315282747846,1.27638524474,0.315282747846,0.325562172626,0.0667760071072,0.402558890565,0.495589631367,0.664493014046
 10/11  19:00:00,2.50444156894,0.714000972305,0.0,0.0,0.771824068471,0.268358221211,1.04018228968,0.268358221211,0.512217801418,0.105060912393,0.320359612211,0.511545953236,0.678763213267
 10/11  20:00:00,2.15600900631,0.667406274093,0.0,0.0,0.475222117536,0.17541412343,0.650636240967,0.17541412343,0.564307796917,0.115745078986,0.281112667479,0.529132221962,0.63095708782
 10/11  21:00:00,1.79319256189,0.608723780625,0.0,0.0,0.308714943431,0.118780556536,0.427495499967,0.118780556536,0.473150404541,0.0970478079074,0.263644908961,0.516778940515,0.573125548118
 10/11  22:00:00,1.33012074378,0.51472697217,0.0,0.0,0.163866401815,0.0639302130207,0.227796614836,0.0639302130207,0.355948014416,0.073008439893,0.211086728929,0.447205945701,0.483921263992
 10/11  23:00:00,0.893676298436,0.414729050319,0.0,0.0,0.0366309546574,0.0143250934049,0.0509560480623,0.0143250934049,0.247427245876,0.0507497708572,0.140854588134,0.388613645507,0.387959463125
 10/11  24:00:00,0.579405810758,0.30845531568,0.0,0.0,0.0,0.0,0.0,0.0,0.12588401171,0.0258200533536,0.0911840680538,0.321442677641,0.286312789584
 10/12  01:00:00,0.511874371184,0.258313960834,0.0,0.0,0.0213655775974,0.00836162955701,0.0297272071544,0.00836162955701,0.07813492675,0.01602623625,0.0769469663719,0.295964034658,0.237926526878
 10/12  02:00:00,0.434756989015,0.245692375007,0.0,0.0,0.0,0.0,0.0,0.0,0.0520899489501,0.0106841611372,0.0643753113384,0.292532567589,0.225541317097
 10/12  03:00:00,0.423394912045,0.24940693372,0.0,0.0,0.0,0.0,0.0,0.0,0.0520899489501,0.0106841611372,0.0571309948506,0.288414807107,0.229539527065
 10/12  04:00:00,0.422912801488,0.286488355773,0.0,0.0,0.0,0.0,0.0,0.0,0.0520899489501,0.0106841611372,0.067543792236,0.277519899164,0.267371443063
 10/12  05:00:00,0.473086702498,0.454946369463,0.0,0.0,0.0,0.0,0.0,0.0,0.0564307796917,0.0115745078986,0.0803165119766,0.309689902932,0.433613431324
 10/12  06:00:00,0.648173357845,0.768938701314,0.0,0.0,0.0,0.0,0.0,0.0,0.117202390125,0.0240393680143,0.134040371138,0.357816228567,0.744290589131
